"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"06/12/2026","Buy","SOXS","DIREXION DAILY SEMICONDUCTOR BEAR 3X SHARES","1","$4.55","","-$4.55"
"06/12/2026","Sell","SOXS","DIREXION DAILY SEMICONDUCTOR BEAR 3X SHARES","2","$4.75","","$9.50"
"06/12/2026","Buy","SOXS","DIREXION DAILY SEMICONDUCTOR BEAR 3X SHARES","1","$4.60","","-$4.60"
"06/12/2026","Buy","SOXS","DIREXION DAILY SEMICONDUCTOR BEAR 3X SHARES","1","$4.70","","-$4.70"
"06/12/2026","Sell","SOXS","DIREXION DAILY SEMICONDUCTOR BEAR 3X SHARES","3","$4.85","","$14.55"
"06/12/2026","Buy","SOXS","DIREXION DAILY SEMICONDUCTOR BEAR 3X SHARES","1","$4.70","","-$4.70"
"06/12/2026","Buy","SOXS","DIREXION DAILY SEMICONDUCTOR BEAR 3X SHARES","1","$4.80","","-$4.80"
"06/12/2026","Buy","SOXS","DIREXION DAILY SEMICONDUCTOR BEAR 3X SHARES","1","$4.85","","-$4.85"
"06/12/2026","Sell","GGLL","DIREXION DAILY GOOGL BULL 2X SHARES","0.2","$119.74","","$23.95"
"06/11/2026","Buy","GGLL","DIREXION DAILY GOOGL BULL 2X SHARES","0.1","$109.3972","","-$10.94"
"06/05/2026","Sell","QQQM","INVESCO NASDAQ ...100 ETF","0.1","$295.722","","$29.57"
"06/05/2026","Buy","QQQM","INVESCO NASDAQ ...100 ETF","0.1","$295.64","","-$29.56"
"06/05/2026","Buy","GGLL","DIREXION DAILY GOOGL BULL 2X SHARES","0.1","$123.95","","-$12.40"
"06/04/2026","Sell","SOXS","DIREXION DAILY SEMICONDUCTOR BEAR 3X SHARES","7","$5.55","","$38.85"
"06/03/2026","Sell","BRKB","BERKSHIRE HATHAWAY CLASS B","0.2","$478.875","","$95.78"
"06/03/2026","Buy","SOXS","DIREXION DAILY SEMICONDUCTOR BEAR 3X SHARES","1","$4.85","","-$4.85"
