标的,价格,分红,分红比例,公告日,除息日,登记日,到账日
QQQI,50.5500,0.5939,1.17%,2024-02-20,2024-02-22,2024-02-21,2024-02-23
QQQI,51.0100,0.6045,1.19%,2024-03-19,2024-03-21,2024-03-20,2024-03-22
QQQI,48.6000,0.5867,1.21%,2024-04-23,2024-04-25,2024-04-24,2024-04-26
QQQI,50.4200,0.6129,1.22%,2024-05-21,2024-05-23,2024-05-22,2024-05-24
QQQI,51.6500,0.6233,1.21%,2024-06-25,2024-06-26,2024-06-26,2024-06-27
QQQI,49.6600,0.6186,1.25%,2024-07-23,2024-07-24,2024-07-24,2024-07-25
QQQI,51.0300,0.6443,1.26%,2024-08-20,2024-08-21,2024-08-21,2024-08-22
QQQI,51.1000,0.6022,1.18%,2024-09-24,2024-09-25,2024-09-25,2024-09-26
QQQI,51.0000,0.6098,1.20%,2024-10-22,2024-10-23,2024-10-23,2024-10-24
QQQI,51.8300,0.6116,1.18%,2024-11-19,2024-11-20,2024-11-20,2024-11-21
QQQI,53.5700,0.6216,1.16%,2024-12-23,2024-12-24,2024-12-24,2024-12-26
QQQI,53.4500,0.6241,1.17%,2025-01-21,2025-01-22,2025-01-22,2025-01-24
QQQI,51.8900,0.6138,1.18%,2025-02-25,2025-02-26,2025-02-26,2025-02-28
QQQI,48.9600,0.5867,1.20%,2025-03-25,2025-03-26,2025-03-26,2025-03-28
QQQI,45.7500,0.5309,1.16%,2025-04-22,2025-04-23,2025-04-23,2025-04-25
QQQI,49.8500,0.6374,1.28%,2025-05-20,2025-05-21,2025-05-21,2025-05-23
QQQI,51.4500,0.6282,1.22%,2025-06-24,2025-06-25,2025-06-25,2025-06-27
QQQI,52.4700,0.6366,1.21%,2025-07-22,2025-07-23,2025-07-23,2025-07-25
QQQI,52.3100,0.6285,1.20%,2025-08-19,2025-08-20,2025-08-20,2025-08-22
QQQI,53.8800,0.6411,1.19%,2025-09-23,2025-09-24,2025-09-24,2025-09-26
QQQI,54.0700,0.6445,1.19%,2025-10-21,2025-10-22,2025-10-22,2025-10-24
QQQI,54.0100,0.6304,1.17%,2025-11-25,2025-11-26,2025-11-26,2025-11-28
QQQI,54.5500,0.6413,1.18%,2025-12-23,2025-12-24,2025-12-24,2025-12-26
QQQI,53.3900,0.6359,1.19%,2026-01-20,2026-01-21,2026-01-21,2026-01-23
QQQI,52.2500,0.614,1.18%,2026-02-17,2026-02-18,2026-02-18,2026-02-20
QQQI,51.0300,0.6089,1.19%,2026-03-17,2026-03-18,2026-03-18,2026-03-20
QQQI,53.5700,0.6297,1.18%,2026-04-21,2026-04-22,2026-04-22,2026-04-24
QQQI,56.0400,0.6589,1.18%,2026-05-19,2026-05-20,2026-05-20,2026-05-22
QQQI,56.1500,0.6572,1.17%,2026-06-15,2026-06-16,2026-06-16,2026-06-18
