Symbol,Side,Qty,Fill Price,Commission,Closing Time
AMEX:SOXS,Sell,1,6.4,0,2026-05-27 00:00:00
AMEX:SOXS,Buy,1,6.25,0,2026-05-26 00:00:00
NASDAQ:QQQI,Dividend,-0.2,,,2026-05-22 00:00:00
NASDAQ:QQQI,Dividend,1.98,,,2026-05-22 00:00:00
AMEX:SOXS,Sell,1,8.73,0,2026-05-21 00:00:00
NASDAQ:ALM,Sell,5,18.5,0,2026-05-21 00:00:00
AMEX:SOXS,Buy,1,8.5,0,2026-05-20 00:00:00
NASDAQ:ALM,Buy,1,16.5,0,2026-05-19 00:00:00
NASDAQ:ALM,Buy,1,17.1,0,2026-05-18 00:00:00
AMEX:SOXS,Sell,1,8.99,0,2026-05-15 00:00:00
NASDAQ:ALM,Buy,1,17.45,0,2026-05-15 00:00:00
NASDAQ:ALM,Buy,1,18,0,2026-05-14 00:00:00
AMEX:SOXS,Sell,1,8.39,0,2026-05-14 00:00:00
AMEX:YANG,Sell,5,25.8,0,2026-05-14 00:00:00
AMEX:SOXS,Buy,1,8.12,0,2026-05-14 00:00:00
AMEX:YANG,Buy,2,24,0,2026-05-13 00:00:00
AMEX:SOXS,Buy,1,8.32,0,2026-05-13 00:00:00
NASDAQ:ALM,Buy,1,20.45,0,2026-05-13 00:00:00
AMEX:SOXS,Sell,2,9.6,0,2026-05-12 00:00:00
AMEX:SOXS,Buy,1,8.3,0,2026-05-11 00:00:00
AMEX:YANG,Buy,1,25.5,0,2026-05-08 00:00:00
AMEX:SCHD,Sell,1,31.6009,0,2026-05-08 00:00:00
AMEX:YANG,Sell,3,25.8537,0,2026-05-08 00:00:00
AMEX:YANG,Sell,3,26.15,0,2026-05-08 00:00:00
AMEX:SOXS,Buy,1,8.88,0,2026-05-08 00:00:00
AMEX:SOXS,Sell,1,10.15,0,2026-05-07 00:00:00
AMEX:YANG,Buy,1,26.3,0,2026-05-06 00:00:00
AMEX:YANG,Buy,1,26,0,2026-05-06 00:00:00
AMEX:SOXS,Buy,1,10,0,2026-05-06 00:00:00
AMEX:SCHD,Buy,1,31.5,0,2026-05-04 00:00:00
CBOE:BOXX,Sell,1,116.5701,0,2026-05-01 00:00:00
AMEX:YANG,Buy,1,27,0,2026-04-24 00:00:00
NASDAQ:QQQI,Dividend,-0.19,,,2026-04-24 00:00:00
NASDAQ:QQQI,Dividend,1.89,,,2026-04-24 00:00:00
AMEX:YANG,Buy,1,25.5,0,2026-04-17 00:00:00
AMEX:YANG,Buy,2,27.6,0,2026-04-14 00:00:00
AMEX:YANG,Dividend,-0.05,,,2026-03-31 00:00:00
AMEX:YANG,Dividend,0.52,,,2026-03-31 00:00:00
NASDAQ:QQQI,Buy,1,48.5,0,2026-03-27 00:00:00
NASDAQ:QQQI,Buy,1,49.5,0,2026-03-26 00:00:00
AMEX:YANG,Buy,1,33,0,2026-03-23 00:00:00
AMEX:YANG,Buy,1,30,0,2026-03-23 00:00:00
CBOE:BOXX,Sell,1,116.02,0,2026-03-19 00:00:00
NASDAQ:QQQI,Buy,1,51.35,0,2026-03-18 00:00:00
CBOE:BOXX,Sell,2,115.88,0,2026-03-09 00:00:00
CBOE:BOXX,Buy,26,115.5,0,2026-02-03 14:30:00
$CASH,Deposit,3037.72,,,2026-02-03 14:30:00
