Symbol,Side,Qty,Fill Price,Commission,Closing Time
XBI,Buy,0.1,152.55,0,2026-07-16 00:00:00
AMEX:SCHD,Buy,1,32.25,0,2026-07-14 00:00:00
XBI,Buy,0.1,155.1055,0,2026-07-13 00:00:00
XBI,Buy,0.1,157.33,0,2026-07-10 00:00:00
NASDAQ:XQQI,Dividend,-0.01,,,2026-07-10 00:00:00
NASDAQ:XQQI,Dividend,0.09,,,2026-07-10 00:00:00
NASDAQ:XQQI,Sell,0.4,50.669,0,2026-07-09 00:00:00
NASDAQ:XQQI,Buy,0.1,48.9512,0,2026-07-08 00:00:00
NASDAQ:XQQI,Buy,0.1,49.0632,0,2026-07-08 00:00:00
NASDAQ:XQQI,Buy,0.1,49.3361,0,2026-07-08 00:00:00
NASDAQ:CAMT,Sell,0.5,134.1158,0,2026-07-07 00:00:00
NASDAQ:CAMT,Sell,0.1,133.8999,0,2026-07-07 00:00:00
NASDAQ:CAMT,Sell,0.1,134.5038,0,2026-07-07 00:00:00
NASDAQ:CAMT,Sell,0.1,134.0845,0,2026-07-07 00:00:00
NASDAQ:CAMT,Buy,0.1,129.20,0,2026-07-07 00:00:00
NASDAQ:XQQI,Buy,0.1,50.624,0,2026-07-07 00:00:00
NASDAQ:CAMT,Sell,1,131.80,0,2026-07-07 00:00:00
CBOE:BOXX,Sell,1,117.2601,0,2026-07-07 00:00:00
NASDAQ:CAMT,Buy,0.1,130.49,0,2026-07-07 00:00:00
NASDAQ:CAMT,Buy,0.1,141.8235,0,2026-07-06 00:00:00
NASDAQ:CAMT,Buy,0.1,142.6207,0,2026-07-06 00:00:00
NASDAQ:CAMT,Buy,0.1,143.50,0,2026-07-06 00:00:00
NASDAQ:CAMT,Buy,0.1,143.616,0,2026-07-06 00:00:00
NYSE:NOK,Sell,1,12.64,0,2026-07-06 00:00:00
NASDAQ:CAMT,Buy,0.1,145.86,0,2026-07-06 00:00:00
NYSE:NOK,Buy,1,12.00,0,2026-07-02 00:00:00
NASDAQ:CAMT,Buy,0.1,143.7439,0,2026-07-02 00:00:00
NASDAQ:CAMT,Buy,1,150.00,0,2026-07-01 00:00:00
AMEX:SOXS,Dividend,-0.02,,,2026-06-30 00:00:00
AMEX:SOXS,Dividend,0.15,,,2026-06-30 00:00:00
AMEX:SOXS,Buy,2,3.50,0,2026-06-18 00:00:00
AMEX:SOXS,Buy,2,3.75,0,2026-06-18 00:00:00
NASDAQ:QQQI,Dividend,-0.20,,,2026-06-18 00:00:00
NASDAQ:QQQI,Dividend,1.97,,,2026-06-18 00:00:00
CBOE:SSPC,Sell,2,9.035,0,2026-06-17 00:00:00
AMEX:SOXS,Sell,3,4.40,0,2026-06-16 00:00:00
CBOE:SSPC,Buy,1,7.00,0,2026-06-16 00:00:00
CBOE:SSPC,Buy,1,10.00,0,2026-06-15 00:00:00
AMEX:SOXS,Buy,1,4.00,0,2026-06-15 00:00:00
AMEX:SOXS,Buy,1,4.00,0,2026-06-15 00:00:00
AMEX:SOXS,Buy,1,4.55,0,2026-06-12 00:00:00
AMEX:SOXS,Sell,2,4.75,0,2026-06-12 00:00:00
AMEX:SOXS,Buy,1,4.60,0,2026-06-12 00:00:00
AMEX:SOXS,Buy,1,4.70,0,2026-06-12 00:00:00
AMEX:SOXS,Sell,3,4.85,0,2026-06-12 00:00:00
AMEX:SOXS,Buy,1,4.70,0,2026-06-12 00:00:00
AMEX:SOXS,Buy,1,4.80,0,2026-06-12 00:00:00
AMEX:SOXS,Buy,1,4.85,0,2026-06-12 00:00:00
NASDAQ:GGLL,Sell,0.2,119.74,0,2026-06-12 00:00:00
NASDAQ:GGLL,Buy,0.1,109.3972,0,2026-06-11 00:00:00
NASDAQ:QQQM,Sell,0.1,295.722,0,2026-06-05 00:00:00
NASDAQ:QQQM,Buy,0.1,295.64,0,2026-06-05 00:00:00
NASDAQ:GGLL,Buy,0.1,123.95,0,2026-06-05 00:00:00
AMEX:SOXS,Sell,7,5.55,0,2026-06-04 00:00:00
AMEX:SOXS,Buy,1,4.91,0,2026-06-03 00:00:00
AMEX:SOXS,Buy,1,4.85,0,2026-06-03 00:00:00
BMV:BRKB,Sell,0.2,478.875,0,2026-06-03 00:00:00
AMEX:SOXS,Buy,1,5.82,0,2026-06-02 00:00:00
AMEX:SOXS,Buy,1,5.72,0,2026-06-02 00:00:00
AMEX:SOXS,Buy,1,5.5,0,2026-06-02 00:00:00
AMEX:SOXS,Buy,1,5.35,0,2026-06-02 00:00:00
AMEX:SOXS,Buy,1,5.3,0,2026-06-02 00:00:00
BMV:BRKB,Buy,0.1,469.8799,0,2026-06-01 00:00:00
BMV:BRKB,Buy,0.1,468.92,0,2026-06-01 00:00:00
AMEX:SOXS,Sell,1,6.4,0,2026-05-27 00:00:00
AMEX:SOXS,Buy,1,6.25,0,2026-05-26 00:00:00
NASDAQ:QQQI,Dividend,-0.2,,,2026-05-22 00:00:00
NASDAQ:QQQI,Dividend,1.98,,,2026-05-22 00:00:00
AMEX:SOXS,Sell,1,8.73,0,2026-05-21 00:00:00
NASDAQ:ALM,Sell,5,18.5,0,2026-05-21 00:00:00
AMEX:SOXS,Buy,1,8.5,0,2026-05-20 00:00:00
NASDAQ:ALM,Buy,1,16.5,0,2026-05-19 00:00:00
NASDAQ:ALM,Buy,1,17.1,0,2026-05-18 00:00:00
AMEX:SOXS,Sell,1,8.99,0,2026-05-15 00:00:00
NASDAQ:ALM,Buy,1,17.45,0,2026-05-15 00:00:00
NASDAQ:ALM,Buy,1,18,0,2026-05-14 00:00:00
AMEX:SOXS,Sell,1,8.39,0,2026-05-14 00:00:00
AMEX:YANG,Sell,5,25.8,0,2026-05-14 00:00:00
AMEX:SOXS,Buy,1,8.12,0,2026-05-14 00:00:00
AMEX:YANG,Buy,2,24,0,2026-05-13 00:00:00
AMEX:SOXS,Buy,1,8.32,0,2026-05-13 00:00:00
NASDAQ:ALM,Buy,1,20.45,0,2026-05-13 00:00:00
AMEX:SOXS,Sell,2,9.6,0,2026-05-12 00:00:00
AMEX:SOXS,Buy,1,8.3,0,2026-05-11 00:00:00
AMEX:YANG,Buy,1,25.5,0,2026-05-08 00:00:00
AMEX:SCHD,Sell,1,31.6009,0,2026-05-08 00:00:00
AMEX:YANG,Sell,3,25.8537,0,2026-05-08 00:00:00
AMEX:YANG,Sell,3,26.15,0,2026-05-08 00:00:00
AMEX:SOXS,Buy,1,8.88,0,2026-05-08 00:00:00
AMEX:SOXS,Sell,1,10.15,0,2026-05-07 00:00:00
AMEX:YANG,Buy,1,26.3,0,2026-05-06 00:00:00
AMEX:YANG,Buy,1,26,0,2026-05-06 00:00:00
AMEX:SOXS,Buy,1,10,0,2026-05-06 00:00:00
AMEX:SCHD,Buy,1,31.5,0,2026-05-04 00:00:00
CBOE:BOXX,Sell,1,116.5701,0,2026-05-01 00:00:00
AMEX:YANG,Buy,1,27,0,2026-04-24 00:00:00
NASDAQ:QQQI,Dividend,-0.19,,,2026-04-24 00:00:00
NASDAQ:QQQI,Dividend,1.89,,,2026-04-24 00:00:00
AMEX:YANG,Buy,1,25.5,0,2026-04-17 00:00:00
AMEX:YANG,Buy,2,27.6,0,2026-04-14 00:00:00
AMEX:YANG,Dividend,-0.05,,,2026-03-31 00:00:00
AMEX:YANG,Dividend,0.52,,,2026-03-31 00:00:00
NASDAQ:QQQI,Buy,1,48.5,0,2026-03-27 00:00:00
NASDAQ:QQQI,Buy,1,49.5,0,2026-03-26 00:00:00
AMEX:YANG,Buy,1,33,0,2026-03-23 00:00:00
AMEX:YANG,Buy,1,30,0,2026-03-23 00:00:00
CBOE:BOXX,Sell,1,116.02,0,2026-03-19 00:00:00
NASDAQ:QQQI,Buy,1,51.35,0,2026-03-18 00:00:00
CBOE:BOXX,Sell,2,115.88,0,2026-03-09 00:00:00
CBOE:BOXX,Buy,26,115.5,0,2026-02-03 14:30:00
$CASH,Deposit,3037.72,,,2026-02-03 14:30:00
