"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"07/29/2026","Buy","XQQI","NEOS BOOSTED NASDAQ-100 HIGH INCOME ETF","1","$45.00","","-$45.00"
"07/27/2026","Sell","XBI","STATE STREET SPDR S&P BIOTECH ETF","0.7","$153.5555","","$107.49"
"07/24/2026","Buy","XBI","STATE STREET SPDR S&P BIOTECH ETF","0.1","$149.941","","-$14.99"
"07/24/2026","NRA Tax Adj","QQQI","NEOS NASDAQ-100(R) HIGH INCOME ETF","","","","-$0.19"
"07/24/2026","Non-Qualified Div","QQQI","NEOS NASDAQ-100(R) HIGH INCOME ETF","","","","$1.90"
"07/22/2026","Buy","XBI","STATE STREET SPDR S&P BIOTECH ETF","0.1","$152.269","","-$15.23"
"07/22/2026","Buy","XBI","STATE STREET SPDR S&P BIOTECH ETF","0.1","$152.451","","-$15.25"
"07/20/2026","Buy","XBI","STATE STREET SPDR S&P BIOTECH ETF","0.1","$152.7587","","-$15.28"
"07/16/2026","Buy","XBI","STATE STREET SPDR S&P BIOTECH ETF","0.1","$152.55","","-$15.26"
"07/14/2026","Buy","SCHD","SCHWAB U.S. DIVIDEND EQUITY ETF","1","$32.25","","-$32.25"
"07/13/2026","Buy","XBI","STATE STREET SPDR S&P BIOTECH ETF","0.1","$155.1055","","-$15.51"
"07/10/2026","Buy","XBI","STATE STREET SPDR S&P BIOTECH ETF","0.1","$157.33","","-$15.73"
"07/10/2026","NRA Tax Adj","XQQI","NEOS BOOSTED NASDAQ-100 HIGH INCOME ETF","","","","-$0.01"
"07/10/2026","Cash Dividend","XQQI","NEOS BOOSTED NASDAQ-100 HIGH INCOME ETF","","","","$0.09"
"07/09/2026","Sell","XQQI","NEOS BOOSTED NASDAQ-100 HIGH INCOME ETF","0.4","$50.669","","$20.27"
"07/08/2026","Buy","XQQI","NEOS BOOSTED NASDAQ-100 HIGH INCOME ETF","0.1","$48.9512","","-$4.90"
"07/08/2026","Buy","XQQI","NEOS BOOSTED NASDAQ-100 HIGH INCOME ETF","0.1","$49.0632","","-$4.91"
"07/08/2026","Buy","XQQI","NEOS BOOSTED NASDAQ-100 HIGH INCOME ETF","0.1","$49.3361","","-$4.93"
"07/07/2026","Sell","CAMT","CAMTEK LTD F","0.5","$134.1158","","$67.06"
"07/07/2026","Sell","CAMT","CAMTEK LTD F","0.1","$133.8999","","$13.39"
"07/07/2026","Sell","CAMT","CAMTEK LTD F","0.1","$134.5038","","$13.45"
"07/07/2026","Sell","CAMT","CAMTEK LTD F","0.1","$134.0845","","$13.41"
"07/07/2026","Buy","CAMT","CAMTEK LTD F","0.1","$129.20","","-$12.92"
"07/07/2026","Buy","XQQI","NEOS BOOSTED NASDAQ-100 HIGH INCOME ETF","0.1","$50.624","","-$5.06"
"07/07/2026","Sell","CAMT","CAMTEK LTD F","1","$131.80","","$131.80"
"07/07/2026","Sell","BOXX","ALPHA ARCHITECT 1-3 MONTH BOX ETF","1","$117.2601","","$117.26"
"07/07/2026","Buy","CAMT","CAMTEK LTD F","0.1","$130.49","","-$13.05"
"07/06/2026","Buy","CAMT","CAMTEK LTD F","0.1","$141.8235","","-$14.18"
"07/06/2026","Buy","CAMT","CAMTEK LTD F","0.1","$142.6207","","-$14.26"
"07/06/2026","Buy","CAMT","CAMTEK LTD F","0.1","$143.50","","-$14.35"
"07/06/2026","Buy","CAMT","CAMTEK LTD F","0.1","$143.616","","-$14.36"
"07/06/2026","Sell","NOK","NOKIA CORP FSPONSORED ADR 1 ADR REPS 1 ORD SHS","1","$12.64","","$12.64"
"07/06/2026","Buy","CAMT","CAMTEK LTD F","0.1","$145.86","","-$14.59"
"07/02/2026","Buy","NOK","NOKIA CORP FSPONSORED ADR 1 ADR REPS 1 ORD SHS","1","$12.00","","-$12.00"
"07/02/2026","Buy","CAMT","CAMTEK LTD F","0.1","$143.7439","","-$14.37"
"07/01/2026","Buy","CAMT","CAMTEK LTD F","1","$150.00","","-$150.00"
