日期,成交日期,证券代码,证券名称,操作,资金余额,成交数量,成交均价,备注,成交金额,发生金额,手续费,印花税,其他杂费,本次金额,合同编号,成交编号,交易市场,货币单位,委托日期,证券中文全称,股份余额
20260714,20260714,512100,1000ETF,证券卖出,3749.160,100,3.201,0,320.100,320.000,0.100,0.000,0.000,3749.160,0330020765,76054992,沪Ａ,人民币,20260714,中证1000ETF南方,0
20260714,20260714,513530,港股红利,证券卖出,3429.160,500,1.512,0,756.000,755.900,0.100,0.000,0.000,3429.160,0330007774,32396091,沪Ａ,人民币,20260714,港股通红利ETF华泰柏瑞,0
20260714,20260714,513530,港股红利,证券卖出,2673.260,500,1.505,0,752.500,752.400,0.100,0.000,0.000,2673.260,0330004459,14847194,沪Ａ,人民币,20260714,港股通红利ETF华泰柏瑞,500
20260713,20260713,512100,1000ETF,证券买入,1920.860,100,3.165,0,316.500,-316.600,0.100,0.000,0.000,1920.860,0330014833,64159729,沪Ａ,人民币,20260713,中证1000ETF南方,100
20260708,20260708,513530,港股红利,证券卖出,2237.460,500,1.505,0,752.500,752.400,0.100,0.000,0.000,2237.460,0330009123,60644488,沪Ａ,人民币,20260708,港股通红利ETF华泰柏瑞,1000
20260708,20260708,513530,港股红利,证券卖出,1485.060,700,1.493,0,1045.100,1045.000,0.100,0.000,0.000,1485.060,0330004372,13174715,沪Ａ,人民币,20260708,港股通红利ETF华泰柏瑞,1500
20260707,20260707,513530,港股红利,证券买入,440.060,200,1.469,0,293.800,-293.900,0.100,0.000,0.000,440.060,0330014382,62005059,沪Ａ,人民币,20260707,港股通红利ETF华泰柏瑞,2200
20260707,20260707,,,银行转证券,733.960,0,0.000,0,0.000,638.000,0.000,0.000,0.000,733.960,,0,,人民币,20260707,,0
20260630,20260630,513530,港股红利,证券买入,95.960,500,1.430,0,715.000,-715.100,0.100,0.000,0.000,95.960,0330007205,27801758,沪Ａ,人民币,20260630,港股通红利ETF华泰柏瑞,2000
20260625,20260625,,,银行转证券,811.060,0,0.000,0,0.000,750.000,0.000,0.000,0.000,811.060,,0,,人民币,20260625,,0
20260623,20260623,513530,港股红利,证券买入,61.060,500,1.495,0,747.500,-747.600,0.100,0.000,0.000,61.060,0330018254,74997446,沪Ａ,人民币,20260623,港股通红利ETF华泰柏瑞,1500
20260622,20260622,,,银行转证券,808.660,0,0.000,0,0.000,750.000,0.000,0.000,0.000,808.660,,0,,人民币,20260622,,0
20260618,20260618,,,利息归本,818.760,0,0.000,0,0.000,0.860,0.000,0.000,0.000,818.760,,,,人民币,20260618,,0
20260618,20260618,513530,港股红利,证券买入,58.660,500,1.520,0,760.000,-760.100,0.100,0.000,0.000,58.660,0330012618,72785185,沪Ａ,人民币,20260618,港股通红利ETF华泰柏瑞,1000
20260618,20260618,,,银行转证券,817.900,0,0.000,0,0.000,800.000,0.000,0.000,0.000,817.900,,0,,人民币,20260618,,0
20260617,20260617,513530,港股红利,证券买入,17.900,500,1.564,0,782.000,-782.100,0.100,0.000,0.000,17.900,0330019288,75779918,沪Ａ,人民币,20260617,港股通红利ETF华泰柏瑞,500
20260617,20260617,,,银行转证券,800.000,0,0.000,0,0.000,800.000,0.000,0.000,0.000,800.000,,0,,人民币,20260617,,0
20260612,20260612,,,证券转银行,0.000,0,0.000,0,0.000,-3160.830,0.000,0.000,0.000,0.000,,0,,人民币,20260612,,0
20260605,20260605,,,证券转银行,3160.830,0,0.000,0,0.000,-30000.000,0.000,0.000,0.000,3160.830,,0,,人民币,20260605,,0
20260602,20260602,513530,港股红利,证券卖出,33160.830,1800,1.636,0,2944.800,2944.650,0.150,0.000,0.000,33160.830,0330005545,17354264,沪Ａ,人民币,20260602,港股通红利ETF华泰柏瑞,0
20260602,20260602,161716,招商双债,证券卖出,30216.180,1000,1.646,0,1646.000,1645.900,0.100,0.000,0.000,30216.180,EP00006369,0105000059415210,深Ａ,人民币,20260602,招商双债LOF,0
20260601,20260601,,,证券转银行,30212.380,0,0.000,0,0.000,-10000.000,0.000,0.000,0.000,30212.380,,0,,人民币,20260601,,0
20260601,20260601,161716,招商双债,证券买入,28570.280,1000,1.642,0,1642.000,-1642.100,0.100,0.000,0.000,28570.280,EP00002456,0101000004786427,深Ａ,人民币,20260601,招商双债LOF,1000
20260529,20260529,511360,短融ETF,证券卖出,40212.380,300,113.523,0,34056.900,34056.900,0.000,0.000,0.000,40212.380,0330009840,35841928,沪Ａ,人民币,20260529,短融ETF海富通,0
20260529,20260529,131810,Ｒ-001,通用回购逆回购购,6155.480,60,1.305,0,6000.640,6000.640,0.000,0.000,0.000,6155.480,EP00023277,0601000001352867,深Ａ,人民币,20260528,Ｒ-001,0
20260528,20260528,131810,Ｒ-001,通用回购逆回购,154.840,60,1.305,0,6000.000,-6000.060,0.060,0.000,0.000,154.840,EP00023277,0601000004474685,深Ａ,人民币,20260528,Ｒ-001,0
20260528,20260528,511360,短融ETF,证券买入,6154.900,300,113.516,0,34054.800,-34054.800,0.000,0.000,0.000,6154.900,0330018474,71861319,沪Ａ,人民币,20260528,短融ETF海富通,300
20260528,20260528,,,银行转证券,42280.500,0,0.000,0,0.000,30000.000,0.000,0.000,0.000,42280.500,,0,,人民币,20260528,,0
20260528,20260528,513530,港股红利,证券买入,40209.700,300,1.585,0,475.500,-475.600,0.100,0.000,0.000,40209.700,0330017820,69953680,沪Ａ,人民币,20260528,港股通红利ETF华泰柏瑞,1800
20260528,20260528,513530,港股红利,证券买入,40685.300,500,1.590,0,795.000,-795.100,0.100,0.000,0.000,40685.300,0330012699,48422930,沪Ａ,人民币,20260528,港股通红利ETF华泰柏瑞,1500
20260528,20260528,,,证券转银行,12280.500,0,0.000,0,0.000,-30500.000,0.000,0.000,0.000,12280.500,,0,,人民币,20260528,,0
20260528,20260528,513530,港股红利,证券买入,41480.400,500,1.600,0,800.000,-800.100,0.100,0.000,0.000,41480.400,0330003732,23912039,沪Ａ,人民币,20260528,港股通红利ETF华泰柏瑞,1000
20260527,20260527,513530,港股红利,证券买入,42780.500,500,1.619,0,809.500,-809.600,0.100,0.000,0.000,42780.500,0330004722,15421601,沪Ａ,人民币,20260527,港股通红利ETF华泰柏瑞,500
20260525,20260525,,,证券转银行,43590.100,0,0.000,0,0.000,-500.000,0.000,0.000,0.000,43590.100,,0,,人民币,20260525,,0
20260522,20260522,600158,中体产业,证券卖出,44090.100,100,11.950,0,1195.000,1194.290,0.100,0.600,0.000,44090.100,0330003675,28447709,沪Ａ,人民币,20260522,中体产业,0
20260521,20260521,600158,中体产业,证券买入,42895.810,100,11.450,0,1145.000,-1145.110,0.100,0.000,0.000,42895.810,0330012727,70912178,沪Ａ,人民币,20260521,中体产业,100
20260519,20260519,,,银行转证券,10126.660,0,0.000,0,0.000,10000.000,0.000,0.000,0.000,10126.660,,0,,人民币,20260519,,0
20260519,20260519,159307,100红利,证券卖出,44040.920,1000,1.056,0,1056.000,1055.900,0.100,0.000,0.000,44040.920,EP00005244,0103000014585240,深Ａ,人民币,20260519,红利低波100ETF博时,0
20260519,20260519,161716,招商双债,证券卖出,42985.020,20000,1.643,0,32860.000,32858.360,1.640,0.000,0.000,42985.020,EP00005207,0103000027055151,深Ａ,人民币,20260519,招商双债LOF,0
20260518,20260518,159307,100红利,证券买入,126.660,500,1.048,0,524.000,-524.100,0.100,0.000,0.000,126.660,EP00019004,0104000079635966,深Ａ,人民币,20260518,红利低波100ETF博时,1000
20260515,20260515,159307,100红利,证券买入,650.760,500,1.055,0,527.500,-527.600,0.100,0.000,0.000,650.760,EP00021590,0103000080782694,深Ａ,人民币,20260515,红利低波100ETF博时,500
20260514,20260514,161716,招商双债,证券买入,1178.360,20000,1.641,0,32820.000,-32821.640,1.640,0.000,0.000,1178.360,EP00020560,0101000080155718,深Ａ,人民币,20260514,招商双债LOF,20000
20260513,20260513,,,银行转证券,34000.000,0,0.000,0,0.000,34000.000,0.000,0.000,0.000,34000.000,,0,,人民币,20260513,,0
20260323,20260323,,,证券转银行,0.000,0,0.000,0,0.000,-600.040,0.000,0.000,0.000,0.000,,0,,人民币,20260323,,0
20260320,20260320,,,利息归本,600.040,0,0.000,0,0.000,0.040,0.000,0.000,0.000,600.040,,,,人民币,20260320,,0
20260319,20260319,,,银行转证券,600.000,0,0.000,0,0.000,600.000,0.000,0.000,0.000,600.000,,0,,人民币,20260319,,0
20260115,20260115,,,证券转银行,0.000,0,0.000,0,0.000,-1790.160,0.000,0.000,0.000,0.000,,0,,人民币,20260115,,0
20260114,20260114,161716,招商双债,证券卖出,1790.160,500,1.609,0,804.500,804.400,0.100,0.000,0.000,1790.160,EP00015361,0104000107831957,深圳Ａ股,人民币,20260114,招商双债LOF,0
20251219,20251219,,,利息归本,985.760,0,0.000,0,0.000,0.060,0.000,0.000,0.000,985.760,,,,人民币,20251219,,0
20251204,20251204,161716,招商双债,证券买入,985.700,500,1.608,0,804.000,-804.100,0.100,0.000,0.000,985.700,EP00010823,0102000037591933,深圳Ａ股,人民币,20251204,招商双债LOF,500
20251126,20251126,159915,创业板,证券卖出,1789.800,200,3.003,0,600.600,600.500,0.100,0.000,0.000,1789.800,EP00011838,0101000029831772,深圳Ａ股,人民币,20251126,创业板ETF,0
20251125,20251125,159915,创业板,证券卖出,1189.300,100,2.950,0,295.000,294.900,0.100,0.000,0.000,1189.300,EP00003045,0105000006087331,深圳Ａ股,人民币,20251125,创业板ETF,200
20251124,20251124,159915,创业板,证券卖出,894.400,100,2.925,0,292.500,292.400,0.100,0.000,0.000,894.400,EP00016968,0105000051886969,深圳Ａ股,人民币,20251124,创业板ETF,300
20251124,20251124,,,银行转证券,602.000,0,0.000,0,0.000,600.000,0.000,0.000,0.000,602.000,,0,,人民币,20251124,,0
20251121,20251121,159915,创业板,证券买入,2.000,100,2.905,0,290.500,-290.600,0.100,0.000,0.000,2.000,EP00025601,0103000072477235,深圳Ａ股,人民币,20251121,创业板ETF,400
20251121,20251121,,,银行转证券,587.200,0,0.000,0,0.000,202.000,0.000,0.000,0.000,587.200,,0,,人民币,20251121,,0
20251121,20251121,159915,创业板,证券买入,292.600,100,2.945,0,294.500,-294.600,0.100,0.000,0.000,292.600,EP00006959,0103000029994926,深圳Ａ股,人民币,20251121,创业板ETF,300
20251119,20251119,159915,创业板,证券买入,385.200,100,3.050,0,305.000,-305.100,0.100,0.000,0.000,385.200,EP00011382,0105000043535027,深圳Ａ股,人民币,20251119,创业板ETF,200
20251119,20251119,159915,创业板,证券卖出,690.300,100,3.072,0,307.200,307.100,0.100,0.000,0.000,690.300,EP00010364,0105000028655756,深圳Ａ股,人民币,20251119,创业板ETF,100
20251118,20251118,159915,创业板,证券买入,383.200,100,3.050,0,305.000,-305.100,0.100,0.000,0.000,383.200,EP00012832,0104000052682870,深圳Ａ股,人民币,20251118,创业板ETF,200
20251114,20251114,159915,创业板,证券买入,688.300,100,3.120,0,312.000,-312.100,0.100,0.000,0.000,688.300,EP00021577,0103000061078195,深圳Ａ股,人民币,20251114,创业板ETF,100
20251112,20251112,161716,招商双债,证券卖出,1000.400,600,1.610,0,966.000,965.900,0.100,0.000,0.000,1000.400,EP00021970,0105000062600948,深圳Ａ股,人民币,20251112,招商双债LOF,0
20251111,20251111,161716,招商双债,证券买入,34.500,600,1.609,0,965.400,-965.500,0.100,0.000,0.000,34.500,EP00012100,0103000045973973,深圳Ａ股,人民币,20251111,招商双债LOF,600
20251110,20251110,,,银行转证券,1000.000,0,0.000,0,0.000,1000.000,0.000,0.000,0.000,1000.000,,0,,人民币,20251110,,0
20251106,20251106,,,证券转银行,0.000,0,0.000,0,0.000,-1000.000,0.000,0.000,0.000,0.000,,0,,人民币,20251106,,0
20251105,20251105,,,银行转证券,1000.000,0,0.000,0,0.000,1000.000,0.000,0.000,0.000,1000.000,,0,,人民币,20251105,,0
20250911,20250911,,,证券转银行,0.000,0,0.000,0,0.000,-3.320,0.000,0.000,0.000,0.000,,0,,人民币,20250911,,0
20250320,20250320,,,利息归本,3.320,0,0.000,0,0.000,3.320,0.000,0.000,0.000,3.320,,,,人民币,20250320,,0
20250303,20250303,,,证券转银行,0.000,0,0.000,0,0.000,-73190.630,0.000,0.000,0.000,0.000,,0,,人民币,20250303,,0
20250228,20250228,204002,GC002,通用回购逆回购购,73190.630,730,2.200,0,73017.600,73017.600,0.000,0.000,0.000,73190.630,0330011636,1200801003391679,上海Ａ股,人民币,20250226,GC002,0
20250226,20250226,204002,GC002,通用回购逆回购,173.030,730,2.200,0,73000.000,-73001.460,1.460,0.000,0.000,173.030,0330011636,1200801003391679,上海Ａ股,人民币,20250226,GC002,0
20250226,20250226,511880,银华日利,证券卖出,73174.490,700,100.249,0,70174.300,70174.300,0.000,0.000,0.000,73174.490,0330011594,33632572,上海Ａ股,人民币,20250226,银华日利ETF,0
